penalty_num,Trade name,Suburb,Council,Date,Party served,Notes,address,offence,description,amount
3161225073,(NO TRADING NAME),MANLY,Northern Beaches,2018-03-06,MEAT ANGEL PTY LTD,,249 PITTWATER ROAD MANLY 2095,11369 - Handle sell food so as to contravene the food safety scheme - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",1320
3161225064,(NO TRADING NAME),MANLY,Northern Beaches,2018-03-06,MEAT ANGEL PTY LTD,,249 PITTWATER ROAD MANLY 2095,11369 - Handle sell food so as to contravene the food safety scheme - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,1320
3144236747,3 ADDICTIONS,NEUTRAL BAY,North Sydney,2018-04-16,"ENGINEER, BERJIZ",,"SHOP 4, 4 RANGERS ROAD NEUTRAL BAY 2089",11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain at or near each hand washing facility a supply of - warm running water - previous warnings given,440
3144236756,3 ADDICTIONS,NEUTRAL BAY,North Sydney,2018-04-16,"ENGINEER, BERJIZ",,"SHOP 4, 4 RANGERS ROAD NEUTRAL BAY 2089",11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure that persons undertaking or supervising food handling operations have skills and knowledge in food safety and food hygiene matters,440
3144236920,3 ADDICTIONS,NEUTRAL BAY,North Sydney,2018-05-14,"ENGINEER, BERJIZ",,SHOP 4 / 4 RANGERS ROAD NEUTRAL BAY 2089,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure that persons undertaking or supervising food handling operations have skills and knowledge in food safety and food hygiene matters - previous warnings given,440
3144236911,3 ADDICTIONS,NEUTRAL BAY,North Sydney,2018-05-14,"ENGINEER, BERJIZ",,SHOP 4 / 4 RANGERS ROAD NEUTRAL BAY 2089,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,440
3144236902,3 ADDICTIONS,NEUTRAL BAY,North Sydney,2018-05-14,"ENGINEER, BERJIZ",,SHOP 4 / 4 RANGERS ROAD NEUTRAL BAY 2089,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain at or near each hand washing facility a supply of - warm running water, previous warnings given",440
7250553687,3 MUMMA CAFE,HAYMARKET,City of Sydney,2018-07-12,TAN CONSULTING SERVICES PTY LTD,,410 PITT STREET HAYMARKET 2000,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
7250546436,354 ESPRESSO,PADDINGTON,City of Sydney,2017-12-05,MEANDELLE PTY LTD,,354 SOUTH DOWLING STREET PADDINGTON 2021,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warning given,880
3081187973,89 THAI AT RESTAURANT,WINDSOR,Hawkesbury,2018-07-03,89 THAI AT RESTAURANT PTY LTD,,146 GEORGE STREET WINDSOR 2756,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,880
3107290735,AAMAA,ROCKDALE,Bayside,2018-08-10,"GURUNG, SURESH RANSINGH",,19 KING STREET ROCKDALE 2216,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain easily accessible hand washing facilities on the food premises,440
3170887675,AANGAN INDIAN CURRY HOUSE,NEWPORT,Northern Beaches,2017-06-23,"AHMED, RAZIUDDIN",,11 ROBERTSON ROAD NEWPORT 2108,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warning given,440
3170887666,AANGAN INDIAN CURRY HOUSE,NEWPORT,Northern Beaches,2017-06-23,"AHMED, RAZIUDDIN",,11 ROBERTSON ROAD NEWPORT 2106,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain at or near each hand washing facility a supply of - soap - single use towels - previous warning given,440
